@relation train_big

@attribute AccX1 numeric
@attribute AccZ1 numeric
@attribute GyrY1 numeric
@attribute AccX2 numeric
@attribute AccZ2 numeric
@attribute GyrY2 numeric
@attribute AccX3 numeric
@attribute AccZ3 numeric
@attribute GyrY3 numeric
@attribute AccX4 numeric
@attribute AccZ4 numeric
@attribute GyrY4 numeric
@attribute AccX5 numeric
@attribute AccZ5 numeric
@attribute GyrY5 numeric
@attribute AccX6 numeric
@attribute AccZ6 numeric
@attribute GyrY6 numeric
@attribute AccX7 numeric
@attribute AccZ7 numeric
@attribute GyrY7 numeric
@attribute AccX8 numeric
@attribute AccZ8 numeric
@attribute GyrY8 numeric
@attribute AccX9 numeric
@attribute AccZ9 numeric
@attribute GyrY9 numeric
@attribute AccX10 numeric
@attribute AccZ10 numeric
@attribute GyrY10 numeric
@attribute AccX11 numeric
@attribute AccZ11 numeric
@attribute GyrY11 numeric
@attribute AccX12 numeric
@attribute AccZ12 numeric
@attribute GyrY12 numeric
@attribute AccX13 numeric
@attribute AccZ13 numeric
@attribute GyrY13 numeric
@attribute AccX14 numeric
@attribute AccZ14 numeric
@attribute GyrY14 numeric
@attribute AccX15 numeric
@attribute AccZ15 numeric
@attribute GyrY15 numeric
@attribute AccX16 numeric
@attribute AccZ16 numeric
@attribute GyrY16 numeric
@attribute AccX17 numeric
@attribute AccZ17 numeric
@attribute GyrY17 numeric
@attribute AccX18 numeric
@attribute AccZ18 numeric
@attribute GyrY18 numeric
@attribute AccX19 numeric
@attribute AccZ19 numeric
@attribute GyrY19 numeric
@attribute AccX20 numeric
@attribute AccZ20 numeric
@attribute GyrY20 numeric
@attribute Label {up,down,left,right,tilt_left,tilt_right}

@data
1079,171,7682,1062,-77,-15853,-1569,-12,-54207,-2378,11,122621,158,249,-39573,1049,-262,35060,442,90,-35792,70,2,-20060,85,109,-4878,-109,22,17560,-6,-40,-4024,-54,-6,9268,72,-57,1524,-19,31,-670,-145,24,-4756,-1,6,6036,109,11,-2865,53,5,-3719,44,-62,10487,2,-55,11585,up
984,-170,-16585,333,104,-42012,-41,-310,95975,-449,80,-14390,-2438,62,-103597,-86,442,-46463,933,-54,73109,672,-78,44146,-115,102,-13780,145,34,-2621,-65,123,12073,47,12,914,33,-55,3048,34,-39,914,-11,-63,-2195,-83,-45,-6341,51,9,-2621,-22,56,3536,-52,-14,1280,27,-12,5731,up
1051,-564,10975,-61,300,-12560,303,-230,36646,-933,247,-148841,-1797,53,73231,395,77,-3963,400,41,3048,567,-118,41829,105,35,-15914,-70,96,-8658,133,-14,9146,12,41,-2926,-67,37,9207,-3,-18,-5731,-21,-16,2987,-18,-49,6097,15,6,-6036,76,-15,4268,-16,64,-1097,-5,-17,-5548,up
1126,-263,15670,397,-345,30243,-181,12,9085,-855,236,-32378,-2146,10,-125182,-130,372,-60,1109,-175,106219,350,127,-30060,131,164,17926,188,-31,18536,-36,97,-12317,-35,-56,1097,-1,0,10792,79,-28,1646,-92,3,670,94,-67,5304,-52,53,-9756,-5,-41,-2804,-1,-9,2987,36,-19,5548,up
1070,-290,-43231,41,17,-23109,-1366,-47,-42560,-977,169,53353,520,61,59878,374,-1,-12682,144,-47,3780,236,-10,-7012,1,57,-6768,-22,53,5670,-18,-24,3719,21,-67,1341,9,21,487,7,7,5731,-25,-2,-10548,-58,-3,-182,45,4,7560,35,-3,-3841,-36,1,-2926,5,-1,-2134,up
1143,-107,21463,820,-251,-21280,-1972,-11,-82804,-1495,408,67317,285,13,40487,946,-126,-26219,140,64,-9024,217,-34,17865,-73,33,-11036,62,32,10731,-90,20,-9085,-53,-21,-3048,13,1,8475,51,-34,2195,19,49,-2073,19,-26,7500,-67,2,-12682,14,22,1768,4,-18,2317,-23,7,-1463,up
1234,-108,27195,255,-230,-18414,-11,-190,78170,-1814,562,-130182,-1818,-161,-76402,1272,64,98780,606,-5,25304,196,85,-11951,40,59,6036,-21,44,-304,80,0,5548,0,21,4512,0,-29,-2560,-36,-55,-2560,1,25,3658,83,-6,6463,-26,34,-7317,29,-34,1280,-21,-24,-4695,-79,-24,1219,up
1378,-220,15000,1416,-116,-29695,-2293,-95,-103109,-2610,203,65426,331,245,15548,1585,-73,70121,284,178,-46890,39,-22,13658,-29,-20,3536,-57,-12,3475,-43,-4,-7378,1,-35,4451,4,15,6768,-2,-31,-11158,32,42,2317,43,-49,-4390,3,33,-7987,-19,24,10365,-8,22,1463,-4,-56,7439,up
1500,-427,25487,-4,114,-59756,-1503,-22,-22073,-1520,115,7012,155,67,6707,891,24,31463,241,69,-2317,187,11,15792,13,28,-6951,12,13,-3536,8,-26,8231,27,-10,-10609,11,25,2073,75,-19,14207,-67,0,-24146,-37,15,7073,102,2,-3841,9,-9,-2804,-43,24,243,-91,-17,8536,up
1183,-212,26280,877,-162,8719,-1985,-185,-68719,-1824,437,-86524,286,195,69878,1138,-72,64024,351,-20,731,55,47,-11951,-11,-24,1707,26,7,4329,-64,-25,-4573,6,14,-7682,-24,15,7378,-11,3,-7256,34,-6,2134,16,-18,4634,-2,8,-5853,-5,7,5670,2,-12,-1829,-7,14,2134,up
