@relation train_big

@attribute AccX1 numeric
@attribute AccZ1 numeric
@attribute GyrY1 numeric
@attribute AccX2 numeric
@attribute AccZ2 numeric
@attribute GyrY2 numeric
@attribute AccX3 numeric
@attribute AccZ3 numeric
@attribute GyrY3 numeric
@attribute AccX4 numeric
@attribute AccZ4 numeric
@attribute GyrY4 numeric
@attribute AccX5 numeric
@attribute AccZ5 numeric
@attribute GyrY5 numeric
@attribute AccX6 numeric
@attribute AccZ6 numeric
@attribute GyrY6 numeric
@attribute AccX7 numeric
@attribute AccZ7 numeric
@attribute GyrY7 numeric
@attribute AccX8 numeric
@attribute AccZ8 numeric
@attribute GyrY8 numeric
@attribute AccX9 numeric
@attribute AccZ9 numeric
@attribute GyrY9 numeric
@attribute AccX10 numeric
@attribute AccZ10 numeric
@attribute GyrY10 numeric
@attribute AccX11 numeric
@attribute AccZ11 numeric
@attribute GyrY11 numeric
@attribute AccX12 numeric
@attribute AccZ12 numeric
@attribute GyrY12 numeric
@attribute AccX13 numeric
@attribute AccZ13 numeric
@attribute GyrY13 numeric
@attribute AccX14 numeric
@attribute AccZ14 numeric
@attribute GyrY14 numeric
@attribute AccX15 numeric
@attribute AccZ15 numeric
@attribute GyrY15 numeric
@attribute AccX16 numeric
@attribute AccZ16 numeric
@attribute GyrY16 numeric
@attribute AccX17 numeric
@attribute AccZ17 numeric
@attribute GyrY17 numeric
@attribute AccX18 numeric
@attribute AccZ18 numeric
@attribute GyrY18 numeric
@attribute AccX19 numeric
@attribute AccZ19 numeric
@attribute GyrY19 numeric
@attribute AccX20 numeric
@attribute AccZ20 numeric
@attribute GyrY20 numeric
@attribute Label {up,down,left,right,tilt_left,tilt_right}

@data
1020,-224,-21402,169,-12,46219,-711,246,-18719,-1320,29,-70670,-616,-112,29268,703,-170,28963,462,139,6951,-9,74,609,200,-20,4939,173,163,5853,-73,-96,-12073,-17,-42,7012,26,-20,-4268,-78,65,-6280,95,-22,9817,-86,-53,-8353,-31,42,5609,24,10,-3536,-20,-21,670,0,3,670,up
974,-170,15487,-28,109,26341,-44,-147,16585,-149,120,-51768,-1902,-38,-42317,-25,46,3597,550,-160,32134,123,40,-1158,234,175,7804,452,-19,1585,-164,101,-19512,51,24,10975,-97,-120,1097,42,15,1341,-26,70,-1646,20,-32,548,12,3,-4634,-66,29,3841,50,-48,1890,-21,70,5060,up
834,-303,-2317,722,-38,8658,-242,-19,21280,-1240,397,-87378,-1543,-145,-45121,550,-105,107743,502,14,-1585,248,123,-16951,66,61,4512,277,-8,12865,-95,64,-9085,-65,-37,4390,136,9,4878,-246,-26,-7317,174,-55,2682,-40,58,2195,-26,18,-853,-20,-47,-1402,8,-31,792,40,9,-1524,up
1533,508,-65121,1742,555,72439,-6346,-1497,100243,2067,401,-609,584,109,-120121,343,-166,-4268,-9,39,9207,-27,70,-10731,102,-44,19939,-30,11,-2134,68,-4,3597,23,3,-15670,-82,27,4329,20,15,5182,0,19,-3292,-2,-5,2987,-22,12,4634,26,25,365,17,-10,-1951,-19,-25,-5731,up
1374,43,12012,2202,-280,66158,-7766,459,-101463,4379,-812,123292,-466,136,-119512,319,395,5304,-38,-42,14878,-79,32,3841,69,-58,4817,-19,6,3048,57,-16,-975,-59,-6,-5487,44,-54,-2012,-10,84,1707,-18,-42,-1890,11,55,1646,4,-44,-1829,-11,20,243,10,-36,121,6,41,1585,up
2219,-165,29268,-4,289,-22743,-5538,349,-89573,3208,-918,182134,-292,321,-129207,334,260,36158,45,-59,-8841,78,-91,1341,-152,41,-5243,32,39,7621,-46,-4,-5853,71,-25,5914,4,20,-3658,62,-22,2804,-119,83,-4024,67,-20,6768,-50,-41,-4268,64,0,4024,-12,12,-2378,2,43,-2743,up
1167,-71,-6707,1838,60,-40243,-5866,-125,31768,2975,479,6585,-152,-682,32439,43,335,-25792,21,-72,-2560,14,59,6524,21,-57,5304,-46,-6,-5975,-64,16,1646,98,4,1463,-50,-19,-1280,-73,8,5670,116,-14,-6036,9,11,1585,-11,-10,1341,-62,6,182,87,-8,-4207,-63,24,-60,up
2293,6,-35426,-942,157,6158,-4688,-135,100792,3726,75,-28475,-519,-139,-71280,266,-105,18719,-17,275,4573,-122,-77,12621,112,-4,-11097,-86,-8,5487,20,-5,2378,-12,23,6524,-6,-33,-14451,7,-19,3414,-9,18,731,9,5,4939,22,29,-1402,-62,-4,-2743,12,-34,-3170,18,12,1036,up
2125,-289,-121,107,385,53963,-5740,-149,-55975,3470,-342,67560,-192,161,-82378,166,245,670,71,0,15914,24,-50,-609,-61,29,1036,123,-44,670,-75,-75,1951,-7,38,-304,-53,68,304,27,-34,487,4,-10,-2439,-8,27,-548,9,-7,304,59,39,-853,-43,-10,3048,-8,-9,2073,up
1559,-135,7926,-218,0,39207,-3231,586,-90365,760,-387,35365,934,-264,17500,245,95,-39085,-76,251,16707,56,-10,6036,-41,-4,1158,-7,-12,5182,5,-37,670,-31,-29,1341,-6,-15,-2987,14,15,-792,56,22,-60,-57,-22,-1402,25,-3,-2012,-17,-1,1524,55,-14,3231,-46,40,-2012,up
2547,1,-97987,-62,663,21341,-6097,-1228,171463,3523,630,-25000,123,-128,-83414,-93,-34,-27500,105,-75,31341,17,41,3719,22,88,-1036,-92,-67,10000,7,7,1829,65,73,-10000,-43,-26,4695,-40,32,-1463,112,-39,-975,-54,30,914,-43,-24,-3109,70,9,3597,-37,19,5182,-3,-16,-1585,up
1140,-19,-8353,1767,-274,18536,-4848,1155,-62378,899,-1083,108658,956,77,-57073,16,80,-42256,90,123,41097,-12,-85,-4695,-5,-31,-6280,-62,-34,11158,30,41,-975,16,-9,182,28,6,4817,-21,7,-4695,5,22,1646,17,-12,-9451,-9,41,7865,-19,-24,1646,-17,13,-1280,22,-10,1524,up
1954,-208,6036,105,138,45000,-5145,608,-97012,2698,-887,114268,183,82,-73658,55,381,-29390,161,-88,14390,-62,-19,11707,-36,73,9634,64,-33,-7560,15,11,3780,-91,-22,3170,42,-35,-2621,67,51,-3048,4,12,3719,-59,12,-1463,38,-2,731,-30,-20,7682,14,26,10731,67,-115,-12560,up
1970,220,-95182,333,1129,-68475,-6046,-1868,250670,3830,700,-86280,-91,-25,-14390,-194,-66,-5731,161,-12,4817,16,40,12682,-45,-16,-5243,26,-45,9146,-33,40,-4512,37,-10,975,0,-28,-1585,-37,0,-2682,60,12,2134,-50,16,-2012,0,-10,182,2,12,4756,16,-8,-3353,-37,15,-1585,up
1083,-188,14634,608,216,30243,-2978,196,3231,337,-157,-28841,1198,-47,-36890,-201,-106,-17195,65,3,32804,-99,36,-1585,15,-17,7560,-21,-33,-9207,4,43,4024,9,-16,1951,14,-18,-2987,19,27,-548,-14,8,5060,-8,5,-1280,-32,42,426,3,-41,1524,62,5,-5000,0,-30,2987,up
1535,-26,15792,-19,-58,64695,-4331,582,-55975,2463,-439,121,139,-339,-52317,142,319,-4207,26,85,30487,-64,-26,4146,75,-125,-2378,-22,62,-4329,-5,28,3841,11,-27,2682,-31,-1,-670,4,-3,2256,34,36,-9207,-32,0,8109,-9,-17,-548,15,-64,2317,14,20,182,0,56,-6768,up
1053,161,-93902,1791,544,22621,-2805,-253,145670,-2824,-395,-18841,1789,-311,-6524,1278,-74,-90975,-204,229,26036,-117,25,14878,58,16,9939,-41,-60,-4146,108,16,-20731,-58,51,25853,22,-35,-13841,-20,42,975,-5,-43,11646,-2,4,-10182,63,-5,8536,-52,46,-304,-29,-61,8658,43,-30,-7987,up
1060,119,-9207,1714,-787,125365,-4942,1246,-131768,949,-645,-9207,985,-372,-14268,228,389,-6158,20,106,42865,-31,-11,-6768,-46,12,-1890,-3,-21,-426,0,-36,3292,13,89,2560,9,-51,-1280,-16,2,1768,25,-4,1890,47,8,-3597,-92,-5,670,5,-14,0,24,6,-2926,-14,4,-1097,up
2199,166,2439,-893,-328,25426,-3418,248,-105670,1600,-224,145426,439,-21,-65365,208,418,6280,-149,-116,-3536,-62,25,-10426,119,-62,8048,-26,76,-487,-29,34,2926,-17,-40,2926,0,8,1585,44,23,3536,-17,-36,-7256,9,-17,1097,-4,0,-1280,-12,5,1402,25,0,-3353,-22,2,-2256,up
1606,147,-83841,982,646,49146,-3666,-501,133414,-1713,-811,-47621,3189,238,-103780,-527,315,11707,50,-266,12682,144,119,28719,-120,-8,-12439,122,31,4573,27,0,-4329,-4,17,14085,-111,48,-60,92,-6,1219,31,-10,0,-62,-17,6768,-5,-13,-2439,9,-23,609,7,31,-8963,-18,-1,5000,up
1190,125,16341,1413,-324,72012,-4916,145,-111219,1274,144,37926,647,-419,-16036,327,195,-8658,140,141,8353,-127,-99,-853,29,36,-548,57,12,4329,-68,-27,-8414,45,-53,-1768,-65,13,2621,33,21,2073,48,17,-1158,-28,67,853,14,1,2865,-15,-3,-1768,-25,-54,2256,30,42,-3902,up
1999,16,-731,-516,71,30853,-4220,-314,-156280,2376,442,230975,33,-748,-136829,293,568,32317,10,9,5670,24,110,-2560,-59,-59,0,6,-13,5670,72,27,1707,-50,-18,-7926,-33,-8,-3414,-18,4,2439,39,84,-1951,-6,-37,-121,-26,2,3963,65,-12,1890,6,20,792,-8,-23,-2743,up
1277,111,-52560,1706,639,-30548,-4080,-605,129512,-1551,-567,55365,1613,89,-5426,967,40,-113658,-65,12,304,201,-14,18719,-56,62,-6463,-33,-16,12621,56,-19,-7439,5,51,7621,-71,-47,-5121,91,20,1951,-70,-4,-6097,-15,7,-975,62,-47,5609,-46,41,-670,16,-47,670,11,-1,-3597,up
-2291,-291,2682,1392,121,24817,3497,2,23048,-2787,186,-112317,-277,-342,47195,605,226,3963,-183,57,609,-153,-205,14817,99,115,-5304,24,-3,2317,-7,-25,6585,-51,11,-1341,40,-11,-2926,-14,-10,-6097,21,-3,-60,-13,3,-365,12,0,975,9,-8,-2804,-10,3,304,-2,20,3719,down
-2045,-305,-14207,979,291,34085,4272,-33,-54024,-3703,-69,51341,381,-41,7073,117,387,-47987,-24,-230,37195,-15,105,-13963,33,-6,5000,-37,-42,121,0,0,-5487,0,21,-243,2,-27,-1158,12,-8,2926,4,18,-3719,-3,-9,1463,-6,6,1463,7,2,-1585,5,-10,0,-19,14,-853,down
-1037,-158,-14451,223,202,22439,1748,-152,-26768,462,317,-37134,-1667,-269,71707,236,-63,1890,190,67,-18170,-124,50,-2256,-23,-96,3536,56,83,914,-41,-39,426,20,23,-670,13,-23,2195,-20,0,-792,-5,3,-426,34,0,243,-4,-4,-1524,-7,4,-487,10,13,1219,-9,-23,-731,down
-820,-28,-853,-1000,-127,-548,3542,228,-50670,-1756,267,-15487,-427,-464,95853,391,-28,-5304,250,297,-57926,-150,-107,43231,-125,-68,-9878,102,48,4756,-57,2,-8353,16,-12,11890,16,21,243,14,-16,-5121,-20,-12,-3597,-5,10,1402,16,-12,0,1,-10,426,-17,16,609,9,-2,-304,down
-829,-50,-7378,167,83,-9024,2033,-297,14817,-527,587,-8414,-1276,-386,28841,507,-83,-7256,54,218,-27073,-235,-75,20000,73,-9,-4390,33,76,-5731,-52,-72,7926,9,-4,-1158,3,46,-1219,-5,-36,2073,7,9,-3231,12,-24,1707,-16,29,1402,12,-13,-2256,-17,-15,-975,-7,40,-121,down
-973,100,-8353,-207,-333,27317,2477,196,16890,-1348,237,-108658,-457,-353,57560,671,80,33536,-199,119,-23048,-24,-165,13414,104,125,-5426,-47,-40,-487,21,-10,-1585,-28,13,-1768,-10,-6,-60,27,4,1158,1,21,-1097,-1,-30,1890,-11,16,121,13,4,609,-28,0,-2195,31,-3,853,down
-947,-41,-2926,-659,-32,36341,2929,-22,-9634,-941,423,-17012,-977,-371,-20121,536,-96,19817,-49,245,-9573,0,-166,14878,50,90,-14817,17,4,5914,-44,-9,-609,14,4,-2256,16,-1,-426,-28,-42,3902,30,56,-3170,-25,-27,0,21,7,-2926,-14,15,1951,16,-25,2256,-16,5,-853,down
-642,2,-2378,-604,-164,22560,1889,-93,-47621,2324,-33,-23292,-3570,189,49756,667,-73,8597,34,287,-19878,-65,-234,19268,46,61,-11341,20,20,3902,-60,-31,2378,52,13,-1402,-22,-4,-3719,2,17,-60,-29,0,-1036,23,3,4634,9,0,-182,5,0,-853,-15,-3,609,6,10,-1463,down
-649,-12,-2500,-470,-62,16890,1860,-263,-38231,161,935,28353,-1609,-808,-12134,750,54,24207,-66,314,-42012,-31,-178,26890,26,30,-17378,-10,29,-12621,-10,48,12987,21,-19,24939,10,-37,-365,-13,-22,-6158,12,59,-1463,0,2,1463,-6,-56,5731,2,11,914,13,-6,-3353,-4,-15,-4817,down
-634,-14,17012,-979,-121,-11097,2321,99,-7134,-979,207,-14451,-299,-170,14024,532,-32,17500,39,248,-30548,-87,-218,20060,104,33,-3658,-15,1,487,0,41,-3902,-6,-22,243,-33,-38,4573,57,-12,1219,-58,10,-1585,44,11,-4207,20,-17,4390,-65,24,-7500,73,1,8048,-58,14,-7195,down
-884,-57,-1707,-265,142,34878,2341,-299,4634,462,244,-11585,-1957,-107,-24634,316,-112,16524,235,104,-17682,-211,26,3719,48,-35,2439,0,36,-5121,-37,-56,4451,13,39,-2012,15,-6,-914,-16,-1,1036,4,16,-304,-28,-18,-1158,24,-20,2134,2,28,-1280,-4,-11,-365,-8,10,1219,down
-511,26,4146,-825,-149,-20975,1872,72,13780,896,-40,54878,-1684,277,-84390,-77,-310,44390,499,159,-3597,-206,73,-17012,-63,-129,16158,97,65,-7926,-110,-36,548,63,0,1890,-20,37,-2134,-7,-22,1219,4,21,-3048,7,0,1219,-4,-6,-1036,10,15,-365,-20,-21,3048,20,33,-2743,down
-1008,-279,5609,235,595,-51829,1837,-416,51890,-1212,291,-54451,-323,-241,63475,410,-26,-731,208,216,-25731,-301,-117,11646,140,-18,2865,36,67,-3109,-99,-102,5060,39,51,-60,7,12,-1097,-20,-49,1280,31,11,-853,-17,0,609,0,6,1585,6,10,-4390,0,-6,-670,1,-6,1829,down
-502,-117,-12134,-538,92,11280,1849,-180,11829,811,89,38658,-2118,159,-84878,233,-213,38597,461,71,16951,-178,140,-25182,-105,-130,3475,118,65,1585,-31,-25,182,-50,-30,-2195,27,45,-1036,26,20,4024,-17,-25,-609,-1,-13,792,-8,33,-1890,14,-18,792,-3,-15,-121,5,5,-4329,down
-634,-84,-10182,-415,250,8963,2173,-439,-17317,-1244,701,-67865,-355,-388,117682,556,-132,-10365,-55,221,-20548,-180,-118,4512,254,50,2378,-155,11,-5487,71,-58,3963,-37,44,-4146,-8,-9,1646,30,-5,487,-6,-6,487,-1,16,1280,0,3,-1097,8,-11,-304,4,6,2682,-5,-12,-4939,down
-893,-150,11951,105,252,-12073,1814,-404,-1280,405,533,60975,-1969,-198,-68353,474,-161,12500,429,191,14024,-557,-64,-26097,204,-4,14085,52,80,-5670,-146,-77,-1036,102,51,4024,-75,-23,-6158,40,-8,3841,-3,-17,304,-9,17,0,-1,1,548,12,-17,-1158,-4,29,-60,4,-8,548,down
-1694,-3,44207,880,276,-49451,2934,-782,58414,-2753,634,-145304,167,-146,79329,622,-101,38353,28,340,-40548,-319,-151,13048,229,-44,15365,-13,83,-16768,-106,-117,7682,32,10,5182,81,78,-12500,-99,-46,1280,18,32,609,9,-68,6280,10,28,-6341,-16,24,-4207,16,-15,5792,-18,-15,1402,down
-807,-216,29817,-506,190,-37500,2791,-173,-25853,-1338,416,-4024,-669,-341,50182,709,-108,0,-151,292,-32134,-138,-166,25426,234,75,-4329,-104,13,-3658,23,-68,1097,24,57,-1707,-19,-32,1097,-19,29,-1341,20,-21,2865,-16,11,-2865,23,3,-243,-23,7,670,13,-8,3597,-3,4,-3719,down
-728,-99,27195,-448,50,-15487,2563,-195,-85792,-1515,727,-16402,-551,-493,107682,816,-132,-5426,-132,232,-14634,-176,-145,15914,292,104,-13353,-186,-54,-1158,67,9,5060,-34,8,-2439,-8,0,365,35,13,548,-13,-7,-426,-9,-6,243,-1,18,-2073,0,-16,1768,12,-6,-426,-16,10,304,down
-843,-198,6890,135,404,-63597,2449,-309,18597,-2458,199,46585,250,-262,34878,923,224,-9756,-652,-81,-36036,86,-56,7134,108,132,-10731,-110,-62,4817,107,50,1158,-49,-34,-3536,13,14,1280,7,18,3353,-31,-52,-853,32,39,-2012,-20,-25,1341,19,26,426,-12,-9,487,10,7,-1036,down
-568,-153,1585,-629,177,-19024,2471,-316,20609,-661,655,-49329,-1175,-431,53109,518,-158,365,312,309,-15975,-414,-132,7682,265,-3,7560,-60,74,-6158,-70,-148,5304,73,124,-4695,-56,-71,4756,62,-6,-4634,-57,41,-7073,21,-1,11829,-62,-45,-2500,141,8,-1646,-116,60,-2804,87,-58,5121,down
-1211,-177,-17378,492,425,-2195,2106,-521,36097,-1892,392,-100914,-1,-128,98475,667,-20,-6829,-200,205,-22012,-170,-166,15304,205,34,182,-44,75,-5670,-37,-111,2012,36,93,-2134,-30,-53,2439,18,-7,670,-15,42,-1768,19,-28,3048,-20,-11,-3902,20,49,792,-19,-40,-670,20,-3,243,down
-957,-126,-15487,410,386,-22012,2632,-209,71341,-2752,-44,-65182,242,-186,57804,833,240,-2134,-541,2,-23414,-29,-174,10182,252,186,-10548,-132,-54,5670,48,-17,-2987,-37,10,-2621,5,-25,1890,22,6,-670,-5,11,-487,-1,12,-548,-6,-4,-426,12,-14,487,-6,19,-1158,7,17,1280,down
-342,-188,11768,-1094,79,-1585,2499,63,-45731,2082,153,38353,-3783,-54,-22500,445,-230,7073,496,268,9634,-386,2,-9573,5,-153,16768,149,94,2804,-132,-62,-5975,46,40,426,15,2,-1585,-41,-28,0,32,22,-1036,-17,-3,-182,14,3,1219,-22,-12,-487,11,-8,-792,-12,15,-2012,down
-946,-196,-16280,140,387,-37317,1836,-504,48231,-1389,498,-15426,-109,-402,26890,653,134,9756,-173,147,-16951,-238,-208,6219,375,183,5487,-218,-126,-10548,61,40,2682,9,35,182,-17,-30,1951,26,8,-3048,-12,-9,121,11,36,0,-6,-37,-914,0,17,-182,2,1,1097,-4,5,1158,down
-335,-199,-4817,-832,131,-44512,1709,151,121036,1480,-22,32987,-2437,-7,-169817,-20,-109,90914,690,-154,-3048,203,286,-29085,-637,-114,-7560,220,-19,24329,76,63,-9390,-156,-61,-2317,79,13,4573,-34,2,60,17,-21,-1646,3,23,-1951,-2,-6,-426,-3,18,-670,-7,-11,243,10,-2,0,down
-399,-176,8841,-1293,269,37865,3007,-299,-99939,-1151,426,40365,-651,-251,23231,214,-201,-28841,671,273,-3170,-318,239,-10548,-68,-384,28597,17,268,-6585,-58,-56,-2012,72,59,17500,9,-63,4512,-34,-17,-2317,15,-2,-5000,9,0,4512,0,-7,-12621,4,-56,7865,-2,31,-975,-1,12,487,down
-698,-163,-2500,-294,290,-2195,1673,-351,-12926,-56,315,48475,-1265,-269,-16707,634,-82,-12256,-83,285,-16402,-147,-187,14512,260,159,243,-165,-86,-2073,89,10,3780,-20,5,-4573,4,-6,731,-14,16,1219,-5,-25,1707,13,6,-1768,-16,-2,121,17,11,-1829,-18,-9,914,25,-6,-60,down
-558,-51,11036,-814,-5,-21707,2278,88,-66097,3948,682,140853,-5609,-893,-76829,626,62,26524,408,469,-40792,-495,-320,23841,311,42,914,-8,130,-1524,-117,-183,7743,74,114,-5914,-75,-59,2682,67,31,609,-31,-20,-853,-2,1,1890,5,-11,-2012,3,10,914,-5,-5,-1158,3,10,609,down
-525,-262,-17073,-64,351,16707,1227,-85,-40670,1541,285,78597,-2748,-414,-51097,740,107,10792,-355,-80,731,81,-16,9695,136,120,-8658,-104,-128,2012,108,109,6280,-76,-83,-9390,34,54,-2378,-7,-31,-548,-20,8,1158,16,26,3109,6,-15,-426,-5,-7,2012,2,18,-975,-11,-10,609,down
-362,-131,14512,-500,-14,6829,1270,32,-89512,767,104,79817,-948,288,-42439,-520,-455,42317,416,119,-12865,127,137,-1036,-243,-116,7073,13,4,-6524,93,26,1036,-33,-29,1951,-31,17,-5731,38,0,1280,-20,11,-609,13,-6,365,6,3,2987,-20,2,-1280,16,-22,2865,-10,5,-1219,down
887,-233,19756,433,227,-45000,-1551,103,38109,96,-250,-10487,264,23,2743,-29,259,-14512,-89,-110,8292,12,-46,2682,47,45,1219,-17,-19,-3597,-33,-4,1707,24,34,-5243,-2,-30,4512,-12,4,-426,14,23,548,3,-1,-1951,-12,-34,2134,14,21,-853,-2,7,731,-11,-40,-975,down
-497,-82,-792,-480,74,17500,1602,-248,-28414,817,152,14207,-1874,244,-42926,56,-242,41097,394,67,-7073,23,229,-670,-263,-227,11951,136,105,-6097,22,-3,2987,-51,-41,-487,47,25,-1646,-3,7,60,-31,-18,2012,22,-1,1280,21,13,914,-36,-22,-1646,17,5,-792,2,7,-975,down
-397,-146,-11402,-430,161,-22987,1378,-94,96646,548,-57,-70792,-1404,332,-7134,-14,-248,4085,337,39,16463,55,194,-10243,-218,-194,14512,74,56,-9756,84,-20,7682,-60,13,-6890,13,-4,-914,21,8,60,-31,8,-1707,13,-29,1524,2,23,243,-7,2,-2195,12,-3,4024,-7,0,-2926,down
-233,-179,5975,-728,176,-3170,2006,-331,-26524,20,429,7256,-1107,27,3353,-94,-306,18963,225,63,9085,188,88,-10426,-161,-32,-1829,-32,-17,-2256,67,6,548,-17,25,-792,-28,-5,3780,29,5,-975,0,-6,-1768,-5,-21,2195,-20,29,-1219,37,10,1524,0,-13,2987,-20,-28,-4573,down
-894,-109,2621,-183,298,10548,1868,-424,14878,-537,570,-78048,-683,-275,53048,153,-139,-3597,345,151,-1585,-126,22,-4207,-98,-86,4085,52,44,2134,31,5,-3841,-63,-20,914,48,30,365,-20,-9,1707,11,-21,0,-11,31,-2682,0,7,1707,16,-37,1768,-15,39,-548,10,-8,-182,down
-306,-125,2195,-641,36,-5487,1700,-29,53353,517,-207,7195,-1610,299,-97134,4,-96,36890,388,31,6341,123,178,-11036,-242,-103,4634,51,-26,3048,85,50,-792,-66,-43,-1280,7,16,-548,19,19,2560,-10,-17,670,-8,-12,914,22,9,-1097,-18,2,-731,-6,-4,548,3,2,365,down
-660,-91,-4573,115,243,-47743,1472,-308,74878,217,395,23170,-1564,-375,-51341,351,9,18231,299,192,-15975,-337,-84,-792,67,-5,6280,50,7,-2500,-67,-35,-304,39,58,-609,-7,-48,1524,-15,11,548,19,-4,1402,-1,0,-6707,-3,26,3414,-2,-7,792,3,-10,1768,17,-2,2317,down
-498,-102,-11463,-416,227,243,1927,-231,4817,552,122,58902,-2000,-37,-69451,284,-79,12073,362,88,6036,-208,104,-8109,-13,-147,-426,53,112,304,-43,-62,3902,17,10,-2804,17,19,-5182,-9,3,7378,-14,-21,1341,32,40,-1829,-19,-18,-609,11,-3,-182,-7,-1,1036,15,13,-426,down
-430,-212,121,-520,163,-14512,1747,-67,40060,260,-135,9695,-1322,324,-84451,-92,-174,47560,275,-17,7073,162,199,-11097,-212,-121,11829,21,-36,-4634,83,64,-2317,-25,0,60,-26,16,-1646,19,1,-243,-7,-17,2560,0,21,1646,5,-5,-2134,2,-4,914,-20,-17,1036,16,28,-1341,down
-163,-152,8048,-605,-79,-15914,538,323,-28231,1255,-334,38109,-447,407,10060,-947,-353,-243,474,5,-2195,185,167,-16219,-414,-73,731,98,-44,2926,70,89,1158,-58,-41,1097,45,20,-1829,-17,2,1768,4,-24,792,5,24,3109,-2,-12,-2560,-10,-5,-1219,13,0,-792,-4,18,975,down
-33,-129,17560,-805,-60,-11768,226,440,-43963,1740,-404,40609,62,460,-46341,-1585,-331,66158,366,-129,-6219,234,107,-18109,-145,113,-2804,-80,-94,3292,64,18,1890,31,18,1341,-56,-2,-2073,23,-4,670,6,-11,1646,-21,-4,-1219,24,26,853,-4,-28,-1036,-4,16,1463,0,-6,-975,down
-467,-95,3780,-870,-59,14512,2038,141,-80853,719,-254,169573,-1581,429,-136768,-188,-312,15304,465,62,19939,19,86,-30426,-159,72,2926,10,-41,22926,30,-21,853,-25,-4,-3963,26,3,3536,-3,0,-1707,-8,4,-731,8,10,1097,0,-3,-1036,-2,-10,609,-4,-13,-365,-24,17,1219,down
-605,-137,-17987,-236,280,18170,1750,-250,4329,245,436,-9512,-1295,-78,-31951,-154,-313,40121,399,93,-2926,65,145,-6585,-206,-62,13353,-14,-98,-792,89,81,-5853,-22,21,-5914,-47,-48,1707,39,41,3963,0,-14,-1768,-15,15,60,22,-9,-243,-18,7,914,10,-26,1219,5,37,-2621,down
-369,-217,8231,-411,115,-22560,1458,-109,12073,255,-70,34756,-855,306,-53536,-336,-221,20182,377,8,-1890,-11,126,-6219,-197,-57,11768,77,-27,3902,-6,41,-5609,-17,-45,-2987,39,45,243,-25,-13,1646,12,-20,548,-6,40,-1829,12,5,2560,1,-26,1524,-16,-10,-2987,11,28,914,down
-576,-152,37073,-185,298,-53902,1411,-167,10548,368,-97,-20365,-1080,335,23292,-138,-359,18780,308,80,-1402,-34,96,-21463,-93,-65,11951,9,-6,-548,34,37,-3048,-5,5,2743,-32,-40,4146,11,3,-6036,26,1,-182,-20,6,60,9,8,-609,-4,-14,-2012,-6,-9,2560,25,4,-2439,down
-270,-58,2865,-822,-99,-5365,1437,98,-25609,464,83,68658,-572,129,-98597,-626,-208,67439,322,-41,2804,156,160,-18536,-240,-52,3475,139,-13,4817,-10,9,-3231,-33,-23,-304,21,54,-1585,14,-21,2865,-15,-15,2195,15,17,-1829,-2,21,548,0,-21,1219,-3,-6,182,14,17,-548,down
-451,-163,11402,-838,195,31402,2035,18,-60853,871,-195,83231,-2044,249,-65426,59,-298,-8170,441,81,35548,52,194,-45487,-258,-103,15975,88,-13,5426,83,30,-8048,-88,19,-3902,25,10,7500,37,-5,1341,-20,-21,792,2,0,-121,12,29,-792,-3,-21,2439,-14,-11,-670,8,39,-853,down
-500,-166,28841,-414,236,15121,1644,-237,-168475,655,50,271036,-1889,73,-198292,111,-83,53170,692,13,6463,-299,193,-31036,-131,-155,26036,165,18,9817,-120,-5,-12073,55,11,-1890,19,33,-2134,-52,-28,2378,38,-9,-731,-14,35,-1402,0,-30,3048,7,24,-1341,2,-27,426,3,17,-1036,down
-230,-45,26158,-623,-76,-10000,695,97,-75243,1424,-321,125975,-158,666,-81890,-1546,-472,28109,480,-7,13902,370,85,-31585,-544,119,-3475,246,-86,17926,-38,28,-3902,-110,-40,3414,95,14,-4085,-32,31,-5975,-7,-21,1768,35,-34,-853,-26,37,121,24,-33,1768,-15,22,-4024,28,20,365,down
-960,299,24085,-3164,159,41829,7062,-1459,-58109,-1626,1066,-158292,-683,75,81341,-607,-116,76890,70,145,-15243,5,-115,-1219,-158,49,9268,97,-106,11219,-62,105,-5243,68,-144,1585,-50,72,-14085,20,-9,121,14,-9,4695,-11,-19,2378,21,-2,-2560,-29,15,2865,19,1,0,-53,-22,2500,down
-2682,173,12439,956,528,-74878,4605,-826,71341,-2426,118,-52134,-260,107,32439,-207,25,6097,-78,24,5792,31,-52,792,70,24,-975,-50,12,-9878,53,-56,5182,9,22,-5609,10,-5,5182,-13,5,3536,-6,-31,-365,-40,38,-3841,14,2,-1707,20,-46,1890,39,19,1829,-33,-43,5426,down
-1965,-222,7378,638,951,-28414,2480,-792,-66341,-1054,568,65670,-176,-442,14451,65,-188,609,-16,167,-4329,1,-37,0,-17,32,2500,41,12,-1646,13,-96,6646,51,59,-2682,-65,36,-2804,-11,-49,2073,40,39,-3536,-61,-28,2987,40,-15,1646,-3,12,365,3,37,-1768,-18,-30,-4878,down
-1612,-249,33170,245,292,106768,2448,-368,-139756,295,98,-134329,-574,420,11036,-635,-178,154146,-131,-211,-16829,-96,102,22500,131,61,-35121,22,23,11768,-39,-23,0,-39,-21,-11158,61,-49,-6219,-12,15,5914,-22,62,365,40,-52,-5000,-7,84,12500,1,-82,-11036,-60,10,7439,4,22,1768,down
