@relation train_small

@attribute ﻿AccX1 numeric
@attribute AccY1 numeric
@attribute AccZ1 numeric
@attribute GyrX1 numeric
@attribute GyrY1 numeric
@attribute GyrZ1 numeric
@attribute AccX2 numeric
@attribute AccY2 numeric
@attribute AccZ2 numeric
@attribute GyrX2 numeric
@attribute GyrY2 numeric
@attribute GyrZ2 numeric
@attribute AccX3 numeric
@attribute AccY3 numeric
@attribute AccZ3 numeric
@attribute GyrX3 numeric
@attribute GyrY3 numeric
@attribute GyrZ3 numeric
@attribute AccX4 numeric
@attribute AccY4 numeric
@attribute AccZ4 numeric
@attribute GyrX4 numeric
@attribute GyrY4 numeric
@attribute GyrZ4 numeric
@attribute AccX5 numeric
@attribute AccY5 numeric
@attribute AccZ5 numeric
@attribute GyrX5 numeric
@attribute GyrY5 numeric
@attribute GyrZ5 numeric
@attribute AccX6 numeric
@attribute AccY6 numeric
@attribute AccZ6 numeric
@attribute GyrX6 numeric
@attribute GyrY6 numeric
@attribute GyrZ6 numeric
@attribute AccX7 numeric
@attribute AccY7 numeric
@attribute AccZ7 numeric
@attribute GyrX7 numeric
@attribute GyrY7 numeric
@attribute GyrZ7 numeric
@attribute AccX8 numeric
@attribute AccY8 numeric
@attribute AccZ8 numeric
@attribute GyrX8 numeric
@attribute GyrY8 numeric
@attribute GyrZ8 numeric
@attribute AccX9 numeric
@attribute AccY9 numeric
@attribute AccZ9 numeric
@attribute GyrX9 numeric
@attribute GyrY9 numeric
@attribute GyrZ9 numeric
@attribute AccX10 numeric
@attribute AccY10 numeric
@attribute AccZ10 numeric
@attribute GyrX10 numeric
@attribute GyrY10 numeric
@attribute GyrZ10 numeric
@attribute AccX11 numeric
@attribute AccY11 numeric
@attribute AccZ11 numeric
@attribute GyrX11 numeric
@attribute GyrY11 numeric
@attribute GyrZ11 numeric
@attribute AccX12 numeric
@attribute AccY12 numeric
@attribute AccZ12 numeric
@attribute GyrX12 numeric
@attribute GyrY12 numeric
@attribute GyrZ12 numeric
@attribute AccX13 numeric
@attribute AccY13 numeric
@attribute AccZ13 numeric
@attribute GyrX13 numeric
@attribute GyrY13 numeric
@attribute GyrZ13 numeric
@attribute AccX14 numeric
@attribute AccY14 numeric
@attribute AccZ14 numeric
@attribute GyrX14 numeric
@attribute GyrY14 numeric
@attribute GyrZ14 numeric
@attribute AccX15 numeric
@attribute AccY15 numeric
@attribute AccZ15 numeric
@attribute GyrX15 numeric
@attribute GyrY15 numeric
@attribute GyrZ15 numeric
@attribute AccX16 numeric
@attribute AccY16 numeric
@attribute AccZ16 numeric
@attribute GyrX16 numeric
@attribute GyrY16 numeric
@attribute GyrZ16 numeric
@attribute AccX17 numeric
@attribute AccY17 numeric
@attribute AccZ17 numeric
@attribute GyrX17 numeric
@attribute GyrY17 numeric
@attribute GyrZ17 numeric
@attribute AccX18 numeric
@attribute AccY18 numeric
@attribute AccZ18 numeric
@attribute GyrX18 numeric
@attribute GyrY18 numeric
@attribute GyrZ18 numeric
@attribute AccX19 numeric
@attribute AccY19 numeric
@attribute AccZ19 numeric
@attribute GyrX19 numeric
@attribute GyrY19 numeric
@attribute GyrZ19 numeric
@attribute AccX20 numeric
@attribute AccY20 numeric
@attribute AccZ20 numeric
@attribute GyrX20 numeric
@attribute GyrY20 numeric
@attribute GyrZ20 numeric
@attribute Label {up,down,left,right}

@data
1970,250,220,-54390,-95182,72743,333,1015,1129,-2865,-68475,-110609,-6046,-893,-1868,140304,250670,-148963,3830,-107,700,-77134,-86280,257195,-91,-74,-25,-853,-14390,-49329,-194,-10,-66,-1951,-5731,-27987,161,9,-12,-8597,4817,2743,16,24,40,-6890,12682,-4024,-45,-42,-16,10487,-5243,12134,26,11,-45,6219,9146,10304,-33,42,40,2073,-4512,-13597,37,-9,-10,-2743,975,3719,0,26,-28,-60,-1585,3292,-37,-12,0,-1219,-2682,-5670,60,11,12,731,2134,4512,-50,-5,16,1219,-2012,-6707,0,11,-10,-1463,182,-1890,2,-6,12,-2560,4756,60,16,-6,-8,731,-3353,304,-37,20,15,365,-1585,-304,up
1083,94,-188,30914,14634,53902,608,269,216,-12317,30243,-94878,-2978,-160,196,-30365,3231,-136341,337,-445,-157,-12378,-28841,230914,1198,281,-47,28414,-36890,20670,-201,-218,-106,-4390,-17195,-61341,65,78,3,2439,32804,-4207,-99,-17,36,670,-1585,-4878,15,7,-17,-4146,7560,182,-21,-6,-33,5975,-9207,-243,4,19,43,-5609,4024,-1768,9,-1,-16,1463,1951,243,14,-9,-18,3353,-2987,-792,19,-7,27,-2256,-548,1646,-14,13,8,-2926,5060,-1402,-8,-7,5,-2195,-1280,609,-32,-2,42,2926,426,-1219,3,-10,-41,1646,1524,731,62,13,5,-670,-5000,4024,0,7,-30,1219,2987,-1463,up
1535,158,-26,19695,15792,64390,-19,480,-58,-35121,64695,-175426,-4331,-919,582,-45853,-55975,-67134,2463,236,-439,19390,121,226402,139,-246,-339,48292,-52317,-33719,142,67,319,-11097,-4207,-8414,26,73,85,-5792,30487,2743,-64,-57,-26,1158,4146,-4878,75,12,-125,6646,-2378,4634,-22,0,62,487,-4329,-5304,-5,10,28,-2073,3841,-3658,11,17,-27,2012,2682,-1402,-31,-13,-1,-731,-670,-975,4,2,-3,-975,2256,-853,34,20,36,2682,-9207,3719,-32,-9,0,-487,8109,-3536,-9,-24,-17,1036,-548,1036,15,-16,-64,-609,2317,1768,14,47,20,-4756,182,3780,0,21,56,853,-6768,-3780,up
1053,178,161,-87743,-93902,52256,1791,400,544,55548,22621,-37560,-2805,1000,-253,96280,145670,-280670,-2824,-1219,-395,-7012,-18841,107682,1789,-294,-311,-8536,-6524,223780,1278,22,-74,-58658,-90975,11402,-204,-141,229,-10182,26036,-69390,-117,62,25,9268,14878,11036,58,101,16,12560,9939,-11585,-41,-8,-60,-609,-4146,-6097,108,-11,16,-19695,-20731,34390,-58,57,51,25609,25853,-27317,22,-1,-35,-4817,-13841,2439,-20,14,42,1707,975,-8597,-5,-3,-43,8658,11646,-7621,-2,-8,4,-5365,-10182,4817,63,21,-5,2500,8536,-365,-52,-17,46,-2134,-304,-2987,-29,-26,-61,1890,8658,-243,43,35,-30,-3597,-7987,8170,up
1060,63,119,-1402,-9207,27560,1714,591,-787,28902,125365,-22865,-4942,-514,1246,-82195,-131768,-202439,949,-222,-645,57621,-9207,186097,985,-160,-372,7560,-14268,29024,228,79,389,-17378,-6158,12073,20,49,106,-8902,42865,-26158,-31,-50,-11,6890,-6768,-7012,-46,17,12,1829,-1890,-2987,-3,-23,-21,2621,-426,-1646,0,-8,-36,2987,3292,-548,13,0,89,-2560,2560,2073,9,2,-51,487,-1280,5365,-16,-6,2,-1402,1768,3475,25,42,-4,121,1890,-1219,47,-3,8,4695,-3597,-3353,-92,8,-5,731,670,-4573,5,7,-14,2256,0,3292,24,-11,6,-1036,-2926,-1097,-14,35,4,-1951,-1097,853,up
2199,334,166,-24146,2439,74939,-893,417,-328,-17865,25426,-209268,-3418,-850,248,-12317,-105670,-27682,1600,-201,-224,31158,145426,169390,439,-91,-21,39085,-65365,33414,208,268,418,-37926,6280,-14207,-149,-73,-116,23902,-3536,-19146,-62,37,25,914,-10426,-7317,119,-3,-62,-7378,8048,7500,-26,25,76,-7317,-487,-5243,-29,-7,34,-2621,2926,-3170,-17,-20,-40,3231,2926,2073,0,16,8,609,1585,4695,44,25,23,1036,3536,1219,-17,-9,-36,7926,-7256,-4573,9,9,-17,-2500,1097,-182,-4,-4,0,1219,-1280,-2378,-12,21,5,-1524,1402,-670,25,17,0,60,-3353,914,-22,-33,2,-426,-2256,-1524,up
1606,271,147,-52682,-83841,27987,982,666,646,28414,49146,-85792,-3666,1252,-501,177256,133414,-241890,-1713,-2195,-811,-120975,-47621,217500,3189,205,238,-23780,-103780,216829,-527,-35,315,-35000,11707,-91158,50,24,-266,36280,12682,-19329,144,91,119,-6890,28719,-11341,-120,15,-8,182,-12439,-10548,122,28,31,-4939,4573,11463,27,-19,0,-1219,-4329,3475,-4,13,17,5121,14085,-18902,-111,-27,48,-2134,-60,792,92,31,-6,3048,1219,5487,31,3,-10,1707,0,1829,-62,-22,-17,1097,6768,-8109,-5,14,-13,-1768,-2439,2560,9,17,-23,2439,609,914,7,-11,31,-2439,-8963,-792,-18,-3,-1,-1097,5000,-914,up
1190,239,125,16402,16341,17073,1413,463,-324,-6829,72012,-60609,-4916,-847,145,-47012,-111219,-156402,1274,10,144,12926,37926,200304,647,-310,-419,44878,-16036,18292,327,106,195,-27134,-8658,-731,140,104,141,-13963,8353,-1646,-127,-65,-99,22317,-853,-15914,29,34,36,-3048,-548,9329,57,31,12,-2926,4329,-1158,-68,-30,-27,2134,-8414,-5853,45,-2,-53,3963,-1768,3292,-65,-23,13,-6097,2621,-2317,33,20,21,-670,2073,3658,48,57,17,-914,-1158,2012,-28,6,67,3658,853,-5487,14,-3,1,-792,2865,670,-15,-5,-3,2560,-1768,-3780,-25,-19,-54,3536,2256,1585,30,63,42,-4695,-3902,5121,up
1999,335,16,-22743,-731,47987,-516,595,71,-50182,30853,-225914,-4220,-1629,-314,107500,-156280,2926,2376,316,442,-87987,230975,194817,33,-128,-748,124024,-136829,243,293,302,568,-76463,32317,-13048,10,27,9,-304,5670,-4939,24,48,110,-6707,-2560,-914,-59,-26,-59,6158,0,-4085,6,9,-13,3048,5670,-4512,72,30,27,-1768,1707,1585,-50,-43,-18,60,-7926,-2743,-33,-23,-8,4329,-3414,487,-18,37,4,-2012,2439,4207,39,9,84,-4024,-1951,2500,-6,16,-37,4207,-121,-3109,-26,-33,2,-1646,3963,-1219,65,35,-12,-304,1890,2378,6,6,20,4085,792,-182,-8,-15,-23,-121,-2743,-1280,up
1277,558,111,-22195,-52560,28902,1706,580,639,2134,-30548,-28231,-4080,457,-605,141829,129512,-254390,-1551,-1577,-567,-74329,55365,173658,1613,111,89,-39268,-5426,127317,967,12,40,-4878,-113658,-31585,-65,-62,12,-5487,304,-25182,201,56,-14,4512,18719,15426,-56,0,62,-3048,-6463,-7926,-33,-34,-16,-1646,12621,1341,56,45,-19,7378,-7439,10731,5,30,51,-4878,7621,-2317,-71,-11,-47,3780,-5121,-7134,91,13,20,-2560,1951,3292,-70,12,-4,3414,-6097,-9451,-15,-26,7,-4329,-975,1463,62,11,-47,8780,5609,3963,-46,9,41,-6585,-670,-6036,16,-3,-47,2987,670,3841,11,0,-1,-4024,-3597,3231,up
